"",Standard Rated Net Cooling Capacity,Standard Rated Net COP,EER,SEER,IEER
SPD DX CLG COIL: THERMAL ZONE: AMEN_0300,182708.59,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: AMEN_0400,186885.05,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: AMEN_0501,192166.02,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: AMEN_2100,35512.2,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: AMEN_FITNESS_2200,287873.86,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: AMEN_SKYLOUNGECORRIDOR_2200,17051.15,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: AMEN_SKYLOUNGEROOM_2200,25111.31,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: AMEN_SKYLOUNGEROOM_2201,37467.7,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: AMEN_SKYLOUNGE_2200,116311.72,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: CORR_0100,10425.12,        2.93,10.01,10.02,10.51
SPD DX CLG COIL: THERMAL ZONE: CORR_0200,6737.96,        2.93,10.01,10.02,10.51
SPD DX CLG COIL: THERMAL ZONE: CORR_0300,40427.74,        2.93,10.01,10.02,10.51
SPD DX CLG COIL: THERMAL ZONE: CORR_0400,40427.74,        2.93,10.01,10.02,10.51
SPD DX CLG COIL: THERMAL ZONE: CORR_0500,40428.42,        2.93,10.01,10.02,10.51
SPD DX CLG COIL: THERMAL ZONE: CORR_2100,6738.3,        2.93,10.01,10.02,10.51
SPD DX CLG COIL: THERMAL ZONE: CORR_2300,1528.98,        2.93,10.01,10.02,10.51
SPD DX CLG COIL: THERMAL ZONE: CORR_2301,746.92,        2.93,10.01,10.02,10.51
SPD DX CLG COIL: THERMAL ZONE: ELEV CONTROL_2301,40231.88,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: ELEV CONTROL_2302,40255.08,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: ELEV LOBBY_2300,73950.32,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: ELEV LOBBY_P100,2678.87,        2.93,10.01,10.02,10.51
SPD DX CLG COIL: THERMAL ZONE: ELEV LOBBY_P200,2724.6,        2.93,10.01,10.02,10.51
SPD DX CLG COIL: THERMAL ZONE: FCC_0100,1603.02,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: LAUNDRY_0100,16045.25,        2.93,10.01,10.03,10.51
SPD DX CLG COIL: THERMAL ZONE: LEASING_0100,34598.09,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: LOBBY_MAIL_0100,15582.57,        2.93,10.01,10.02,10.51
SPD DX CLG COIL: THERMAL ZONE: PACKAGE_0100,1709.48,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0201_4B,10242.57,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0202,3423.4,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0203,4802.59,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0204,3871.76,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0205,4271.32,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0206,5324.99,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0207,6490.92,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0208,4723.09,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0209_3B,16592.22,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0210,5149.26,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0211_2B,15487.37,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0212,5766.52,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0213,8032.86,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0214,7070.3,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0215,5441.68,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0216,5325.33,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0217,5072.83,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0218,4903.25,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0219_4B,10824.68,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0301_4B,53754.88,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0302,25187.41,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0303,28888.56,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0304,28785.51,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0305,23301.52,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0306,16857.0,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0307_3B,70867.45,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0308,25093.57,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0309_2B,60666.51,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0310,24047.41,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0311,34090.37,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0312,34507.67,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0313,32287.73,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0314,32323.22,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0315,34214.57,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0316,33444.79,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0317_4B,73543.25,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0401_4B,56880.4,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0402,29313.37,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0403,33409.98,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0404,33123.03,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0405,26341.05,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0406,18603.34,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0407_3B,77238.6,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0408,27015.29,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0409_2B,64249.26,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0410,25935.69,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0411,37785.37,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0412,38496.12,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0413,36170.41,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0414,36243.43,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0415,38606.68,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0416,37789.81,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0417_4B,80775.97,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0501_4B,56619.37,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0502,29000.81,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0503,32768.16,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0504,32461.75,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0505,26085.48,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0506,18476.41,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0507_3B,77298.66,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0508,27929.74,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0509_2B,63750.41,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0510,25782.48,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0511,37454.74,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0512,38167.88,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0513,35882.76,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0514,35958.85,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0515,38291.39,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0516,37482.72,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_0517_4B,80831.25,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2101_4B,12830.68,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2102,4378.12,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2103,5110.02,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2104,5207.61,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2105,4643.92,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2106,3092.08,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2107_3B,11601.28,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2108,5696.23,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2109_2B,9691.16,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2110,3987.77,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2111,5544.39,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2112,5686.68,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2113,6035.4,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2114,6047.0,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2115,5693.16,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2116,5525.96,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: UNIT_2117_4B,12746.74,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: XFMR_0201,39720.74,        2.88,9.84,9.85,10.23
SPD DX CLG COIL: THERMAL ZONE: XFMR_0401,238421.69,        2.88,9.84,9.85,10.23
THERMAL ZONE: RETAIL_0100 COIL COOLING DX SINGLE SPEED,144765.91,        3.12,10.65,11.29,10.8
